slug,library_formula,formula_rendered_before_fix
integral-of-2cosx-+-5ex,"2*cos(x) + 5*e^x","(parser returned null)"
integral-of-1-over-x2-+-4lnx-+-x,"1/x^2 + 4*ln(x) + x","(parser returned null)"
integral-of-2sinx-+-2x3,"2*sin(x) + 2*x^3","(parser returned null)"
integral-of-31-over-sqrt1-x2-+-1-over-2tanx,"3*1/sqrt(1-x^2) + 1/2*tan(x)","(parser returned null)"
integral-of--cosx-+-2secx2--1-over-sqrt1-x2,"-cos(x) + 2*sec(x)^2 - 1/sqrt(1-x^2)","(parser returned null)"
integral-of-4secx2-+-41-over-sqrt1-x2,"4*sec(x)^2 + 4*1/sqrt(1-x^2)","(parser returned null)"
integral-of--cosx-+-5cosx--ex,"-cos(x) + 5*cos(x) - e^x","(parser returned null)"
integral-of-ex--x2,"e^x - x^2","exx^2"
integral-of-51-over-x--x3,"5*1/x - x^3","51/(xx^3)"
integral-of-3cosx--x,"3*cos(x) - x","3cosxx"
integral-of-x3-+-41-over-x-+-5tanx,"x^3 + 4*1/x + 5*tan(x)","(parser returned null)"
integral-of-41-over-x-+-1-over-21-over-1+x2,"4*1/x + 1/2*1/(1+x^2)","(parser returned null)"
integral-of-4x3--1-over-sqrt1-x2,"4*x^3 - 1/sqrt(1-x^2)","(4x^31)/(sqrt(1x^2))"
integral-of--1-over-1+x2-+-1-over-2sqrtx-+-5cosx,"-1/(1+x^2) + 1/2*sqrt(x) + 5*cos(x)","(parser returned null)"
integral-of--cosx-+-4x-+-3lnx,"-cos(x) + 4*x + 3*ln(x)","(parser returned null)"
integral-of-21-over-1+x2-+-x4,"2*1/(1+x^2) + x^4","(parser returned null)"
integral-of-1-over-21-over-1+x2-+-51-over-x,"1/2*1/(1+x^2) + 5*1/x","(parser returned null)"
integral-of-tanx-+-cosx,"tan(x) + cos(x)","(parser returned null)"
integral-of-sinx--secx2-+-2x3,"sin(x) - sec(x)^2 + 2*x^3","(parser returned null)"
integral-of-2sinx--lnx,"2*sin(x) - ln(x)","2sinxlnx"
integral-of-1-over-2sinx--cosx-+-2sqrtx,"1/2*sin(x) - cos(x) + 2*sqrt(x)","(parser returned null)"
integral-of-4ex-+-1-over-21-over-x2,"4*e^x + 1/2*1/x^2","(parser returned null)"
integral-of-1-over-1+x2-+-1-over-2x3--1-over-x2,"1/(1+x^2) + 1/2*x^3 - 1/x^2","(parser returned null)"
integral-of--x3-+-4sinx,"-x^3 + 4*sin(x)","(parser returned null)"
integral-of-1-over-x2-+-5x4,"1/x^2 + 5*x^4","(parser returned null)"
integral-of-2x--lnx,"2*x - ln(x)","2xlnx"
integral-of-41-over-1+x2--tanx,"4*1/(1+x^2) - tan(x)","(parser returned null)"
integral-of-3secx2-+-cosx,"3*sec(x)^2 + cos(x)","(parser returned null)"
integral-of--1-over-sqrt1-x2-+-sqrtx,"-1/sqrt(1-x^2) + sqrt(x)","(parser returned null)"
integral-of-3secx2-+-2secx2,"3*sec(x)^2 + 2*sec(x)^2","(parser returned null)"
integral-of-x-+-21-over-x2-+-41-over-x,"x + 2*1/x^2 + 4*1/x","(parser returned null)"
integral-of-sqrtx-+-5sqrtx,"sqrt(x) + 5*sqrt(x)","(parser returned null)"
integral-of-4sinx-+-5lnx--sqrtx,"4*sin(x) + 5*ln(x) - sqrt(x)","(parser returned null)"
integral-of-4x4-+-tanx-+-2cosx,"4*x^4 + tan(x) + 2*cos(x)","(parser returned null)"
integral-of-5lnx-+-5cosx-+-sinx,"5*ln(x) + 5*cos(x) + sin(x)","(parser returned null)"
integral-of-4secx2-+-2x2,"4*sec(x)^2 + 2*x^2","(parser returned null)"
integral-of-5tanx-+-31-over-x2,"5*tan(x) + 3*1/x^2","(parser returned null)"
integral-of-2tanx-+-2lnx-+-1-over-x,"2*tan(x) + 2*ln(x) + 1/x","(parser returned null)"
integral-of-5x-+-51-over-x2,"5*x + 5*1/x^2","(parser returned null)"
integral-of--sinx-+-3cosx-+-2sinx,"-sin(x) + 3*cos(x) + 2*sin(x)","(parser returned null)"
integral-of--cosx-+-1-over-21-over-sqrt1-x2,"-cos(x) + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5sqrtx-+-2lnx,"5*sqrt(x) + 2*ln(x)","(parser returned null)"
integral-of-51-over-x2-+-1-over-1+x2-+-3x4,"5*1/x^2 + 1/(1+x^2) + 3*x^4","(parser returned null)"
integral-of-1-over-2x2-+-41-over-1+x2-+-1-over-x2,"1/2*x^2 + 4*1/(1+x^2) + 1/x^2","(parser returned null)"
integral-of-51-over-sqrt1-x2-+-1-over-x2-+-4sqrtx,"5*1/sqrt(1-x^2) + 1/x^2 + 4*sqrt(x)","(parser returned null)"
integral-of-3cosx-+-31-over-x,"3*cos(x) + 3*1/x","(parser returned null)"
integral-of-4x3-+-1-over-2x4,"4*x^3 + 1/2*x^4","(parser returned null)"
integral-of-31-over-1+x2-+-3x2,"3*1/(1+x^2) + 3*x^2","(parser returned null)"
integral-of-41-over-sqrt1-x2-+-51-over-sqrt1-x2,"4*1/sqrt(1-x^2) + 5*1/sqrt(1-x^2)","(parser returned null)"
integral-of-41-over-x-+-4tanx,"4*1/x + 4*tan(x)","(parser returned null)"
integral-of-tanx-+-1-over-2x3-+-1-over-21-over-x,"tan(x) + 1/2*x^3 + 1/2*1/x","(parser returned null)"
integral-of-51-over-x2-+-4sinx,"5*1/x^2 + 4*sin(x)","(parser returned null)"
integral-of-4x-+-3ex-+-x3,"4*x + 3*e^x + x^3","(parser returned null)"
integral-of-1-over-21-over-sqrt1-x2-+-51-over-1+x2,"1/2*1/sqrt(1-x^2) + 5*1/(1+x^2)","(parser returned null)"
integral-of-5tanx--secx2-+-cosx,"5*tan(x) - sec(x)^2 + cos(x)","(parser returned null)"
integral-of-1-over-1+x2-+-1-over-2tanx,"1/(1+x^2) + 1/2*tan(x)","(parser returned null)"
integral-of-51-over-sqrt1-x2--1-over-1+x2,"5*1/sqrt(1-x^2) - 1/(1+x^2)","(parser returned null)"
integral-of-41-over-sqrt1-x2-+-5x3,"4*1/sqrt(1-x^2) + 5*x^3","(parser returned null)"
integral-of-2sqrtx-+-2x4,"2*sqrt(x) + 2*x^4","(parser returned null)"
integral-of-4cosx-+-5x3,"4*cos(x) + 5*x^3","(parser returned null)"
integral-of--x3-+-5lnx-+-3lnx,"-x^3 + 5*ln(x) + 3*ln(x)","(parser returned null)"
integral-of-31-over-sqrt1-x2-+-21-over-x2,"3*1/sqrt(1-x^2) + 2*1/x^2","(parser returned null)"
integral-of-31-over-1+x2-+-x3,"3*1/(1+x^2) + x^3","(parser returned null)"
integral-of-41-over-x-+-5lnx,"4*1/x + 5*ln(x)","(parser returned null)"
integral-of-51-over-x-+-3sinx,"5*1/x + 3*sin(x)","(parser returned null)"
integral-of-x4-+-4sinx-+-3lnx,"x^4 + 4*sin(x) + 3*ln(x)","(parser returned null)"
integral-of-2x2-+-31-over-sqrt1-x2,"2*x^2 + 3*1/sqrt(1-x^2)","(parser returned null)"
integral-of-3x4-+-1-over-2secx2,"3*x^4 + 1/2*sec(x)^2","(parser returned null)"
integral-of--tanx--sinx,"-tan(x) - sin(x)","tan(xsinx)"
integral-of-4tanx-+-1-over-2x-+-5x,"4*tan(x) + 1/2*x + 5*x","(parser returned null)"
integral-of-5x3--1-over-x-+-secx2,"5*x^3 - 1/x + sec(x)^2","(parser returned null)"
integral-of-4cosx-+-2ex,"4*cos(x) + 2*e^x","(parser returned null)"
integral-of-5x4-+-3x,"5*x^4 + 3*x","(parser returned null)"
integral-of-3x-+-1-over-21-over-sqrt1-x2--tanx,"3*x + 1/2*1/sqrt(1-x^2) - tan(x)","(parser returned null)"
integral-of--cosx-+-5sqrtx,"-cos(x) + 5*sqrt(x)","(parser returned null)"
integral-of-5secx2-+-5x-+-x4,"5*sec(x)^2 + 5*x + x^4","(parser returned null)"
integral-of-2lnx-+-x3-+-5tanx,"2*ln(x) + x^3 + 5*tan(x)","(parser returned null)"
integral-of-5x2--cosx,"5*x^2 - cos(x)","5x^2cosx"
integral-of-sqrtx--cosx,"sqrt(x) - cos(x)","sqrt(xcosx)"
integral-of-x2-+-ex-+-2lnx,"x^2 + e^x + 2*ln(x)","(parser returned null)"
integral-of-3sinx-+-tanx-+-5x2,"3*sin(x) + tan(x) + 5*x^2","(parser returned null)"
integral-of-51-over-1+x2-+-1-over-2secx2,"5*1/(1+x^2) + 1/2*sec(x)^2","(parser returned null)"
integral-of-4sinx-+-2x2-+-sqrtx,"4*sin(x) + 2*x^2 + sqrt(x)","(parser returned null)"
integral-of-3sinx-+-5ex-+-41-over-x,"3*sin(x) + 5*e^x + 4*1/x","(parser returned null)"
integral-of-1-over-21-over-x2-+-4sinx-+-1-over-2sqrtx,"1/2*1/x^2 + 4*sin(x) + 1/2*sqrt(x)","(parser returned null)"
integral-of-1-over-2x--x,"1/2*x - x","1/(2xx)"
integral-of-2sqrtx--x,"2*sqrt(x) - x","2sqrtxx"
integral-of--lnx-+-51-over-sqrt1-x2-+-2x,"-ln(x) + 5*1/sqrt(1-x^2) + 2*x","(parser returned null)"
integral-of-21-over-x-+-5ex,"2*1/x + 5*e^x","(parser returned null)"
integral-of-4tanx-+-5tanx,"4*tan(x) + 5*tan(x)","(parser returned null)"
integral-of-3cosx-+-x3,"3*cos(x) + x^3","(parser returned null)"
integral-of-51-over-x-+-2cosx,"5*1/x + 2*cos(x)","(parser returned null)"
integral-of-sinx-+-3tanx,"sin(x) + 3*tan(x)","(parser returned null)"
integral-of-1-over-21-over-x-+-lnx-+-1-over-21-over-x,"1/2*1/x + ln(x) + 1/2*1/x","(parser returned null)"
integral-of-x--sqrtx-+-3tanx,"x - sqrt(x) + 3*tan(x)","(parser returned null)"
integral-of--x2-+-ex--1-over-x2,"-x^2 + e^x - 1/x^2","(parser returned null)"
integral-of-1-over-21-over-sqrt1-x2-+-2cosx-+-2sqrtx,"1/2*1/sqrt(1-x^2) + 2*cos(x) + 2*sqrt(x)","(parser returned null)"
integral-of-1-over-2sqrtx-+-3sqrtx-+-4sqrtx,"1/2*sqrt(x) + 3*sqrt(x) + 4*sqrt(x)","(parser returned null)"
integral-of-secx2-+-51-over-sqrt1-x2-+-4x3,"sec(x)^2 + 5*1/sqrt(1-x^2) + 4*x^3","(parser returned null)"
integral-of-4x2-+-x3-+-5ex,"4*x^2 + x^3 + 5*e^x","(parser returned null)"
integral-of--sqrtx-+-51-over-sqrt1-x2--x3,"-sqrt(x) + 5*1/sqrt(1-x^2) - x^3","(parser returned null)"
integral-of-1-over-2sqrtx-+-1-over-2cosx,"1/2*sqrt(x) + 1/2*cos(x)","(parser returned null)"
integral-of-41-over-1+x2-+-3x,"4*1/(1+x^2) + 3*x","(parser returned null)"
integral-of-51-over-x-+-4secx2,"5*1/x + 4*sec(x)^2","(parser returned null)"
integral-of-x--sinx,"x - sin(x)","xsinx"
integral-of-21-over-sqrt1-x2-+-2cosx,"2*1/sqrt(1-x^2) + 2*cos(x)","(parser returned null)"
integral-of--1-over-sqrt1-x2-+-4lnx-+-3sinx,"-1/sqrt(1-x^2) + 4*ln(x) + 3*sin(x)","(parser returned null)"
integral-of-1-over-2secx2-+-41-over-x2-+-1-over-1+x2,"1/2*sec(x)^2 + 4*1/x^2 + 1/(1+x^2)","(parser returned null)"
integral-of--secx2-+-41-over-1+x2,"-sec(x)^2 + 4*1/(1+x^2)","(parser returned null)"
integral-of--sqrtx--1-over-x2-+-x2,"-sqrt(x) - 1/x^2 + x^2","(parser returned null)"
integral-of-21-over-1+x2--x4,"2*1/(1+x^2) - x^4","(parser returned null)"
integral-of-1-over-x2-+-ex,"1/x^2 + e^x","(parser returned null)"
integral-of--x-+-1-over-sqrt1-x2,"-x + 1/sqrt(1-x^2)","(parser returned null)"
integral-of-4x2-+-3x4,"4*x^2 + 3*x^4","(parser returned null)"
integral-of-5tanx-+-4secx2,"5*tan(x) + 4*sec(x)^2","(parser returned null)"
integral-of-5sinx-+-3x-+-1-over-21-over-1+x2,"5*sin(x) + 3*x + 1/2*1/(1+x^2)","(parser returned null)"
integral-of-3x4-+-sqrtx,"3*x^4 + sqrt(x)","(parser returned null)"
integral-of-2ex-+-1-over-x-+-1-over-21-over-sqrt1-x2,"2*e^x + 1/x + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-4secx2-+-2x4,"4*sec(x)^2 + 2*x^4","(parser returned null)"
integral-of-4ex-+-4tanx,"4*e^x + 4*tan(x)","(parser returned null)"
integral-of-1-over-2x-+-x2,"1/2*x + x^2","(parser returned null)"
integral-of-2sqrtx-+-4cosx-+-tanx,"2*sqrt(x) + 4*cos(x) + tan(x)","(parser returned null)"
integral-of-3x3-+-sinx-+-4sinx,"3*x^3 + sin(x) + 4*sin(x)","(parser returned null)"
integral-of-1-over-2x3-+-21-over-sqrt1-x2-+-31-over-1+x2,"1/2*x^3 + 2*1/sqrt(1-x^2) + 3*1/(1+x^2)","(parser returned null)"
integral-of--ex-+-4sqrtx-+-1-over-2secx2,"-e^x + 4*sqrt(x) + 1/2*sec(x)^2","(parser returned null)"
integral-of-4sinx-+-3cosx,"4*sin(x) + 3*cos(x)","(parser returned null)"
integral-of-51-over-x2-+-41-over-x2-+-4ex,"5*1/x^2 + 4*1/x^2 + 4*e^x","(parser returned null)"
integral-of-sqrtx-+-1-over-x,"sqrt(x) + 1/x","(parser returned null)"
integral-of-41-over-x--x2-+-51-over-x2,"4*1/x - x^2 + 5*1/x^2","(parser returned null)"
integral-of-3x3,"3*x^3","3x^3"
integral-of-21-over-x2-+-31-over-x-+-41-over-x2,"2*1/x^2 + 3*1/x + 4*1/x^2","(parser returned null)"
integral-of--lnx--cosx,"-ln(x) - cos(x)","ln(xcosx)"
integral-of-41-over-x--x,"4*1/x - x","41/xx"
integral-of--1-over-x-+-3lnx,"-1/x + 3*ln(x)","(parser returned null)"
integral-of-1-over-2x2-+-1-over-x2,"1/2*x^2 + 1/x^2","(parser returned null)"
integral-of-2x3-+-cosx-+-4secx2,"2*x^3 + cos(x) + 4*sec(x)^2","(parser returned null)"
integral-of-1-over-2cosx-+-5x3-+-tanx,"1/2*cos(x) + 5*x^3 + tan(x)","(parser returned null)"
integral-of--sinx-+-x,"-sin(x) + x","(parser returned null)"
integral-of-2x3-+-41-over-1+x2-+-41-over-sqrt1-x2,"2*x^3 + 4*1/(1+x^2) + 4*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5x2-+-x4-+-3x2,"5*x^2 + x^4 + 3*x^2","(parser returned null)"
integral-of-3x3-+-5x4,"3*x^3 + 5*x^4","(parser returned null)"
integral-of-4x-+-5x3-+-x3,"4*x + 5*x^3 + x^3","(parser returned null)"
integral-of-3tanx-+-5x3-+-4cosx,"3*tan(x) + 5*x^3 + 4*cos(x)","(parser returned null)"
integral-of-4cosx-+-tanx-+-5tanx,"4*cos(x) + tan(x) + 5*tan(x)","(parser returned null)"
integral-of-4ex-+-4secx2-+-sinx,"4*e^x + 4*sec(x)^2 + sin(x)","(parser returned null)"
integral-of-1-over-21-over-x-+-3sinx-+-4x4,"1/2*1/x + 3*sin(x) + 4*x^4","(parser returned null)"
integral-of-2lnx-+-4tanx,"2*ln(x) + 4*tan(x)","(parser returned null)"
integral-of-41-over-1+x2-+-5tanx-+-5lnx,"4*1/(1+x^2) + 5*tan(x) + 5*ln(x)","(parser returned null)"
integral-of-51-over-sqrt1-x2-+-4sqrtx,"5*1/sqrt(1-x^2) + 4*sqrt(x)","(parser returned null)"
integral-of-5x4-+-3secx2,"5*x^4 + 3*sec(x)^2","(parser returned null)"
integral-of--ex-+-lnx,"-e^x + ln(x)","(parser returned null)"
integral-of-3cosx-+-1-over-2tanx,"3*cos(x) + 1/2*tan(x)","(parser returned null)"
integral-of-2cosx-+-51-over-sqrt1-x2,"2*cos(x) + 5*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5ex-+-1-over-2secx2,"5*e^x + 1/2*sec(x)^2","(parser returned null)"
integral-of-2x3-+-5x2,"2*x^3 + 5*x^2","(parser returned null)"
integral-of--1-over-1+x2-+-41-over-x,"-1/(1+x^2) + 4*1/x","(parser returned null)"
integral-of-4cosx-+-2x4,"4*cos(x) + 2*x^4","(parser returned null)"
integral-of--1-over-1+x2-+-41-over-x2-+-4x,"-1/(1+x^2) + 4*1/x^2 + 4*x","(parser returned null)"
integral-of-1-over-2cosx-+-31-over-sqrt1-x2,"1/2*cos(x) + 3*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5x4-+-5secx2-+-3sinx,"5*x^4 + 5*sec(x)^2 + 3*sin(x)","(parser returned null)"
integral-of-5x--sqrtx,"5*x - sqrt(x)","5xsqrtx"
integral-of-1-over-2sqrtx-+-1-over-2sinx,"1/2*sqrt(x) + 1/2*sin(x)","(parser returned null)"
integral-of-5sinx-+-x-+-1-over-2ex,"5*sin(x) + x + 1/2*e^x","(parser returned null)"
integral-of-21-over-x-+-31-over-x2,"2*1/x + 3*1/x^2","(parser returned null)"
integral-of-2tanx-+-3sinx-+-21-over-sqrt1-x2,"2*tan(x) + 3*sin(x) + 2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-41-over-x2-+-5x2,"4*1/x^2 + 5*x^2","(parser returned null)"
integral-of-21-over-x-+-1-over-2x-+-sinx,"2*1/x + 1/2*x + sin(x)","(parser returned null)"
integral-of-3x--secx2-+-5x,"3*x - sec(x)^2 + 5*x","(parser returned null)"
integral-of-3sinx-+-2x2,"3*sin(x) + 2*x^2","(parser returned null)"
integral-of-1-over-21-over-1+x2-+-4ex,"1/2*1/(1+x^2) + 4*e^x","(parser returned null)"
integral-of-21-over-x2-+-tanx-+-31-over-x2,"2*1/x^2 + tan(x) + 3*1/x^2","(parser returned null)"
integral-of-1-over-21-over-x-+-51-over-1+x2,"1/2*1/x + 5*1/(1+x^2)","(parser returned null)"
integral-of--1-over-x-+-21-over-x2,"-1/x + 2*1/x^2","(parser returned null)"
integral-of-5x3-+-31-over-1+x2,"5*x^3 + 3*1/(1+x^2)","(parser returned null)"
integral-of-3x-+-2cosx,"3*x + 2*cos(x)","(parser returned null)"
integral-of-21-over-x-+-21-over-sqrt1-x2,"2*1/x + 2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-21-over-sqrt1-x2-+-1-over-2x3,"2*1/sqrt(1-x^2) + 1/2*x^3","(parser returned null)"
integral-of-lnx-+-1-over-2tanx--1-over-1+x2,"ln(x) + 1/2*tan(x) - 1/(1+x^2)","(parser returned null)"
integral-of-5x4-+-3sinx,"5*x^4 + 3*sin(x)","(parser returned null)"
integral-of-2x3-+-5x3-+-31-over-x2,"2*x^3 + 5*x^3 + 3*1/x^2","(parser returned null)"
integral-of-x4-+-1-over-2secx2,"x^4 + 1/2*sec(x)^2","(parser returned null)"
integral-of-41-over-1+x2-+-4x2-+-1-over-2sinx,"4*1/(1+x^2) + 4*x^2 + 1/2*sin(x)","(parser returned null)"
integral-of-1-over-21-over-1+x2-+-1-over-21-over-x2-+-5x4,"1/2*1/(1+x^2) + 1/2*1/x^2 + 5*x^4","(parser returned null)"
integral-of--1-over-x-+-41-over-1+x2,"-1/x + 4*1/(1+x^2)","(parser returned null)"
integral-of-4tanx--x-+-cosx,"4*tan(x) - x + cos(x)","(parser returned null)"
integral-of-21-over-x-+-3x,"2*1/x + 3*x","(parser returned null)"
integral-of-1-over-2sqrtx--sqrtx,"1/2*sqrt(x) - sqrt(x)","1/(2sqrtxsqrtx)"
integral-of-cosx-+-1-over-21-over-1+x2,"cos(x) + 1/2*1/(1+x^2)","(parser returned null)"
integral-of-41-over-x2-+-2ex,"4*1/x^2 + 2*e^x","(parser returned null)"
integral-of-4ex-+-3secx2-+-2cosx,"4*e^x + 3*sec(x)^2 + 2*cos(x)","(parser returned null)"
integral-of-5lnx-+-1-over-sqrt1-x2,"5*ln(x) + 1/sqrt(1-x^2)","(parser returned null)"
integral-of-2tanx-+-4x4,"2*tan(x) + 4*x^4","(parser returned null)"
integral-of--x4-+-2x3,"-x^4 + 2*x^3","(parser returned null)"
integral-of-lnx-+-5ex-+-x3,"ln(x) + 5*e^x + x^3","(parser returned null)"
integral-of-sinx-+-1-over-2x2,"sin(x) + 1/2*x^2","(parser returned null)"
integral-of-4x2-+-31-over-x,"4*x^2 + 3*1/x","(parser returned null)"
integral-of-4x2-+-5secx2,"4*x^2 + 5*sec(x)^2","(parser returned null)"
integral-of-21-over-1+x2-+-3tanx-+-sqrtx,"2*1/(1+x^2) + 3*tan(x) + sqrt(x)","(parser returned null)"
integral-of-31-over-x-+-2secx2-+-5tanx,"3*1/x + 2*sec(x)^2 + 5*tan(x)","(parser returned null)"
integral-of-21-over-x2-+-secx2,"2*1/x^2 + sec(x)^2","(parser returned null)"
integral-of-5x4-+-lnx,"5*x^4 + ln(x)","(parser returned null)"
integral-of-31-over-x-+-4sinx-+-4x4,"3*1/x + 4*sin(x) + 4*x^4","(parser returned null)"
integral-of-2x4-+-2x4,"2*x^4 + 2*x^4","(parser returned null)"
integral-of--ex-+-1-over-2x2,"-e^x + 1/2*x^2","(parser returned null)"
integral-of-5x2-+-1-over-2ex,"5*x^2 + 1/2*e^x","(parser returned null)"
integral-of-1-over-sqrt1-x2-+-2x3,"1/sqrt(1-x^2) + 2*x^3","(parser returned null)"
integral-of-51-over-x2-+-1-over-x2,"5*1/x^2 + 1/x^2","(parser returned null)"
integral-of-4x4-+-2tanx--1-over-x2,"4*x^4 + 2*tan(x) - 1/x^2","(parser returned null)"
integral-of--cosx-+-x2-+-x,"-cos(x) + x^2 + x","(parser returned null)"
integral-of-1-over-2sinx-+-41-over-1+x2--x4,"1/2*sin(x) + 4*1/(1+x^2) - x^4","(parser returned null)"
integral-of--cosx-+-4cosx--x,"-cos(x) + 4*cos(x) - x","(parser returned null)"
integral-of-x4-+-1-over-x,"x^4 + 1/x","(parser returned null)"
integral-of-4x-+-5cosx-+-51-over-1+x2,"4*x + 5*cos(x) + 5*1/(1+x^2)","(parser returned null)"
integral-of-3lnx-+-2secx2,"3*ln(x) + 2*sec(x)^2","(parser returned null)"
integral-of-1-over-2x-+-4ex,"1/2*x + 4*e^x","(parser returned null)"
integral-of--tanx-+-lnx,"-tan(x) + ln(x)","(parser returned null)"
integral-of-5x4-+-51-over-x-+-tanx,"5*x^4 + 5*1/x + tan(x)","(parser returned null)"
integral-of-4cosx-+-4cosx,"4*cos(x) + 4*cos(x)","(parser returned null)"
integral-of-2cosx-+-tanx,"2*cos(x) + tan(x)","(parser returned null)"
integral-of-51-over-1+x2-+-5sinx,"5*1/(1+x^2) + 5*sin(x)","(parser returned null)"
integral-of-3lnx-+-sqrtx--1-over-x,"3*ln(x) + sqrt(x) - 1/x","(parser returned null)"
integral-of-51-over-x-+-41-over-x2,"5*1/x + 4*1/x^2","(parser returned null)"
integral-of-31-over-x--x,"3*1/x - x","31/xx"
integral-of-2sinx-+-1-over-2x3,"2*sin(x) + 1/2*x^3","(parser returned null)"
integral-of-5ex--lnx-+-5ex,"5*e^x - ln(x) + 5*e^x","(parser returned null)"
integral-of-4x2-+-3tanx-+-3lnx,"4*x^2 + 3*tan(x) + 3*ln(x)","(parser returned null)"
integral-of-4sqrtx-+-1-over-2lnx,"4*sqrt(x) + 1/2*ln(x)","(parser returned null)"
integral-of-1-over-21-over-sqrt1-x2-+-4x2--1-over-x2,"1/2*1/sqrt(1-x^2) + 4*x^2 - 1/x^2","(parser returned null)"
integral-of-1-over-sqrt1-x2-+-2x2,"1/sqrt(1-x^2) + 2*x^2","(parser returned null)"
integral-of-4secx2--1-over-sqrt1-x2,"4*sec(x)^2 - 1/sqrt(1-x^2)","(4secx^21)/(sqrt(1x^2))"
integral-of-5cosx-+-2x4-+-5x4,"5*cos(x) + 2*x^4 + 5*x^4","(parser returned null)"
integral-of-2cosx-+-4x3-+-3tanx,"2*cos(x) + 4*x^3 + 3*tan(x)","(parser returned null)"
integral-of-51-over-x-+-4x2,"5*1/x + 4*x^2","(parser returned null)"
integral-of-4x3-+-4cosx,"4*x^3 + 4*cos(x)","(parser returned null)"
integral-of-1-over-x-+-3x3-+-3sqrtx,"1/x + 3*x^3 + 3*sqrt(x)","(parser returned null)"
integral-of-4x4-+-21-over-1+x2--x2,"4*x^4 + 2*1/(1+x^2) - x^2","(parser returned null)"
integral-of-21-over-1+x2-+-1-over-21-over-sqrt1-x2--x2,"2*1/(1+x^2) + 1/2*1/sqrt(1-x^2) - x^2","(parser returned null)"
integral-of-31-over-x2-+-1-over-21-over-sqrt1-x2,"3*1/x^2 + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5x2-+-4secx2-+-21-over-sqrt1-x2,"5*x^2 + 4*sec(x)^2 + 2*1/sqrt(1-x^2)","(parser returned null)"
integral-of--1-over-x--secx2-+-1-over-1+x2,"-1/x - sec(x)^2 + 1/(1+x^2)","(parser returned null)"
integral-of-5cosx--lnx,"5*cos(x) - ln(x)","5cosxlnx"
integral-of-5lnx--x3,"5*ln(x) - x^3","5lnxx^3"
integral-of-secx2-+-31-over-1+x2-+-31-over-1+x2,"sec(x)^2 + 3*1/(1+x^2) + 3*1/(1+x^2)","(parser returned null)"
integral-of--1-over-x-+-4ex,"-1/x + 4*e^x","(parser returned null)"
integral-of-51-over-x-+-1-over-2lnx,"5*1/x + 1/2*ln(x)","(parser returned null)"
integral-of--x2-+-1-over-21-over-1+x2-+-1-over-2x3,"-x^2 + 1/2*1/(1+x^2) + 1/2*x^3","(parser returned null)"
integral-of-x2--secx2,"x^2 - sec(x)^2","x^2secx^2"
integral-of-1-over-2x-+-1-over-x2,"1/2*x + 1/x^2","(parser returned null)"
integral-of-1-over-2lnx--tanx,"1/2*ln(x) - tan(x)","1/(2lnxtanx)"
integral-of-5x3-+-5x-+-51-over-x2,"5*x^3 + 5*x + 5*1/x^2","(parser returned null)"
integral-of-31-over-1+x2-+-51-over-1+x2,"3*1/(1+x^2) + 5*1/(1+x^2)","(parser returned null)"
integral-of-5sqrtx--x-+-tanx,"5*sqrt(x) - x + tan(x)","(parser returned null)"
integral-of-2x-+-4x,"2*x + 4*x","(parser returned null)"
integral-of-1-over-2sqrtx-+-1-over-2x3-+-2lnx,"1/2*sqrt(x) + 1/2*x^3 + 2*ln(x)","(parser returned null)"
integral-of-1-over-2cosx-+-4secx2,"1/2*cos(x) + 4*sec(x)^2","(parser returned null)"
integral-of-2x3-+-1-over-1+x2,"2*x^3 + 1/(1+x^2)","(parser returned null)"
integral-of-1-over-2x3-+-5ex,"1/2*x^3 + 5*e^x","(parser returned null)"
integral-of--1-over-x2-+-41-over-sqrt1-x2-+-2x3,"-1/x^2 + 4*1/sqrt(1-x^2) + 2*x^3","(parser returned null)"
integral-of-5x4-+-3tanx,"5*x^4 + 3*tan(x)","(parser returned null)"
integral-of-3x3-+-4sinx,"3*x^3 + 4*sin(x)","(parser returned null)"
integral-of-3x4--x3,"3*x^4 - x^3","3x^4x^3"
integral-of-1-over-2ex-+-1-over-2x-+-31-over-1+x2,"1/2*e^x + 1/2*x + 3*1/(1+x^2)","(parser returned null)"
integral-of--1-over-1+x2-+-21-over-x2,"-1/(1+x^2) + 2*1/x^2","(parser returned null)"
integral-of-1-over-2ex-+-x4-+-3ex,"1/2*e^x + x^4 + 3*e^x","(parser returned null)"
integral-of-2x3-+-4ex,"2*x^3 + 4*e^x","(parser returned null)"
integral-of-5cosx-+-x-+-1-over-21-over-sqrt1-x2,"5*cos(x) + x + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-1-over-2sinx-+-1-over-21-over-sqrt1-x2,"1/2*sin(x) + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of--lnx-+-1-over-2x4,"-ln(x) + 1/2*x^4","(parser returned null)"
